x,y
164,119
148,35
152,193
196,8
118,1
1,94
69,1
82,129
148,34
68,0
69,0
1,137
162,118
69,132
0,20
62,0
0,156
92,2
187,2
1,157
1,18
151,193
49,7
93,1
60,173
186,1
69,133
118,2
2,19
4,1
1,89
1,20
1,17
184,1
69,2
191,44
2,90
126,117
2,18
192,154
83,129
1,19
119,2
69,3
1,72
93,3
1,9
192,43
70,133
174,103
62,175
68,1
109,66
61,174
193,43
70,2
173,103
186,2
148,116
45,179
70,1
83,127
187,65
1,55
147,36
117,1
22,153
165,118
195,196
160,45
1,93
181,73
101,196
76,35
83,128
180,45
91,2
72,66
2,91
1,10
36,191
70,4
76,36
92,4
161,44
4,80
147,35
1,90
131,168
170,8
125,117
50,7
43,167
195,93
119,1
195,183
1,91
152,134
195,184
126,118
185,1
149,35
161,91
185,2
54,179
93,2
120,2
91,1
71,132
70,132
71,1
182,73
93,29
1,92
2,158
2,94
125,118
11,87
188,65
165,119
146,126
2,72
196,92
192,44
184,2
189,19
191,45
23,166
43,166
187,174
194,195
2,55
70,134
1,56
2,92
171,32
185,3
79,1
1,16
135,137
132,168
90,100
23,167
70,17
197,8
3,19
37,191
4,79
151,2
51,154
138,146
80,1
50,154
21,45
14,61
50,155
127,35
137,104
44,167
171,31
76,34
51,197
48,6
2,181
46,180
19,74
160,44
2,17
142,4
68,4
174,104
49,4
3,91
149,36
60,1
80,189
173,173
109,130
10,174
73,54
62,2
136,104
49,154
137,147
23,83
136,138
2,93
1,73
120,87
102,155
20,47
32,87
172,40
79,3
5,79
189,20
136,103
21,48
92,128
85,57
23,153
100,132
80,4
38,189
50,102
22,168
3,1
148,36
161,162
164,121
59,20
172,103
14,1
61,182
1,8
17,119
2,95
171,8
184,3
172,32
170,32
123,154
164,122
61,175
142,2
151,192
134,194
13,1
176,152
121,8
186,142
150,115
139,1
166,119
62,182
20,48
72,132
1,158
44,168
49,6
14,101
23,82
44,117
60,20
119,156
97,122
71,2
81,28
117,156
98,12
150,193
196,10
175,173
149,26
132,1
51,195
120,11
1,70
14,102
109,75
92,3
120,10
137,105
84,182
12,27
196,184
91,3
34,166
172,41
60,174
193,42
197,9
23,33
28,93
70,3
195,4
24,83
3,93
133,194
54,25
65,56
74,53
118,156
69,134
19,75
80,28
11,175
174,172
194,101
81,3
1,82
152,1
36,102
35,105
20,75
131,98
126,172
18,120
192,45
129,93
87,56
74,52
164,124
66,57
5,80
197,118
74,54
190,85
154,63
133,167
80,3
87,15
138,161
51,103
173,104
143,2
193,154
146,26
144,126
123,26
1,155
20,173
31,57
1,102
144,125
180,44
136,45
175,106
54,138
1,95
80,2
68,110
150,2
101,156
76,37
153,119
141,2
196,5
190,43
8,35
82,79
123,155
128,60
171,7
149,37
130,166
15,101
43,116
42,79
144,152
164,89
34,144
175,174
100,196
111,21
151,194
34,1
196,118
99,132
81,127
142,1
1,54
68,93
197,10
99,133
1,68
172,163
180,178
128,155
183,4
102,156
35,193
19,92
122,156
164,123
104,5
2,111
155,183
171,30
161,2
87,102
46,142
166,117
112,144
153,194
173,41
3,94
35,143
2,42
43,168
49,137
104,53
67,90
126,34
134,46
97,121
45,167
3,90
75,36
149,32
37,190
172,1
69,4
152,2
69,176
76,141
58,88
58,22
54,180
195,185
70,130
115,1
186,65
187,66
170,40
133,180
187,63
9,177
112,120
154,64
100,130
135,138
121,25
161,63
49,193
45,180
21,31
56,123
60,183
49,156
3,122
31,107
195,94
63,57
5,152
42,165
33,71
76,15
67,32
129,166
68,3
62,3
2,100
71,133
185,80
197,51
99,103
176,173
4,162
2,71
74,51
132,167
94,3
181,3
92,29
1,7
64,157
130,4
158,5
92,148
75,34
35,68
4,81
21,91
94,36
23,152
68,132
172,71
34,86
136,137
2,57
4,82
125,116
174,114
88,72
151,25
163,122
93,128
173,2
52,179
118,3
159,190
